,id,decimalLatitude,decimalLongitude,occurrenceStatus
0,0,-37.91714641,145.2077063,0
1,1,-37.75097378,144.981501,0
2,2,-37.9616,145.348,0
3,3,-37.6213,145.003,0
4,4,-38.4981,145.647,0
5,5,-37.9193,145.15,0
6,6,-37.87511806,145.1913524,0
7,7,-37.8742,145.19,0
8,8,-37.87417342,145.1903121,0
9,9,-38.10094175,145.1395899,0
10,10,-37.71647785,145.0504398,0
11,11,-37.6685,145.08,0
12,12,-37.7809,145.616,0
13,13,-37.9193,145.151,0
14,14,-38.1120072,145.241281,0
15,15,-37.87814112,145.2480389,0
16,16,-37.8789743,145.247094,0
17,17,-37.75708117,145.1634515,0
18,18,-37.83809298,145.2206671,0
19,19,-37.83840223,145.2233959,0
20,20,-37.7443,145.678,0
21,21,-37.94754512,145.4162555,0
22,22,-37.70679385,145.1681054,0
23,23,-37.9585,145.296,0
24,24,-37.9208,145.206,0
25,25,-37.9165,145.205,0
26,26,-37.62260277,145.0687009,0
27,27,-37.8853,145.496,0
28,28,-37.85749328,145.2021933,0
29,29,-37.71804457,144.8197793,0
30,30,-38.0075,145.129,0
31,31,-37.8731,145.189,0
32,32,-37.92376824,145.205187,0
33,33,-37.75482412,145.6861259,0
34,34,-37.75804299,145.649374,0
35,35,-38.24280902,145.1379102,0
36,36,-37.77228375,145.6284339,0
37,37,-37.89680043,145.2026424,0
38,38,-37.74106184,145.2384043,0
39,39,-37.77346373,145.5239516,0
40,40,-38.18226593,145.1740788,0
41,41,-37.7410626,145.2382496,0
42,42,-37.63261217,144.8497248,0
43,43,-37.8049,145.371,0
44,44,-38.42232052,144.9188933,0
45,45,-38.47211878,145.0245059,0
46,46,-37.76848993,145.6339339,0
47,47,-38.0498,145.291,0
48,48,-37.83197649,145.2822016,0
49,49,-38.33857295,144.9517596,0
50,50,-37.77208832,144.9866611,0
51,51,-37.86495327,144.8073721,0
52,52,-37.73284638,144.9748539,0
53,53,-37.7617434,145.6438965,0
54,54,-37.73287106,144.9747887,0
55,55,-37.7067729,145.419811,0
56,56,-37.856,145.21,0
57,57,-37.91505908,145.2118552,0
58,58,-37.75668511,145.0312885,0
59,59,-37.91716109,145.2076211,0
60,60,-38.3442303,144.9441184,0
61,61,-37.93694517,145.2259361,0
62,62,-38.0792,145.502,0
63,63,-38.34415223,144.944159,0
64,64,-37.75345382,145.2846956,0
65,65,-37.75546338,145.2505007,0
66,66,-37.6589,144.969,0
67,67,-38.0804,145.503,0
68,68,-38.0794,145.502,0
69,69,-37.75367673,145.2844516,0
70,70,-37.87307921,145.1894892,0
71,71,-37.80167419,145.2798296,0
72,72,-38.4223106,144.91874,0
73,73,-37.93694961,145.2261077,0
74,74,-38.0371,145.324,0
75,75,-37.73458737,145.7484953,0
76,76,-37.87306597,145.1893399,0
77,77,-37.83949988,145.2323908,0
78,78,-37.73216728,144.9748517,0
79,79,-37.9415,145.082,0
80,80,-38.00571538,145.1198375,0
81,81,-38.00572136,145.119821,0
82,82,-37.83849652,145.2232901,0
83,83,-37.83818782,145.2187902,0
84,84,-37.9419,145.082,0
85,85,-38.0062,145.098,0
86,86,-38.006,145.124,0
87,87,-37.78258903,144.8978455,0
88,88,-38.13935326,145.268126,0
89,89,-38.0061,145.098,0
90,90,-38.3263,145.424,0
91,91,-38.3262,145.424,0
92,92,-38.01739647,145.3291393,0
93,93,-38.01737711,145.3291318,0
94,94,-38.3564,145.441,0
95,95,-37.93694387,145.2257645,0
96,96,-38.0061,145.124,0
97,97,-38.3059,145.17,0
98,98,-37.8392,145.23,0
99,99,-38.0063,145.098,0
100,100,-37.9414,145.082,0
101,101,-37.9416,145.082,0
102,102,-38.0059,145.124,0
103,103,-37.8656,144.885,0
104,104,-37.83844736,145.2229351,0
105,105,-37.9419,145.081,0
106,106,-37.8557,145.21,0
107,107,-38.41189641,145.4770583,0
108,108,-37.9088,145.321,0
109,109,-37.91201878,145.2026147,0
110,110,-37.94712412,145.285537,0
111,111,-38.3387,145.076,0
112,112,-37.7315,145.533,0
113,113,-37.85743334,145.2023513,0
114,114,-37.84231586,145.2134307,0
115,115,-38.3501802,144.9403495,0
116,116,-37.86463759,144.8072871,0
117,117,-37.86497686,144.8073658,0
118,118,-37.87916078,145.2506313,0
119,119,-37.66190072,145.1169871,0
120,120,-37.6619353,145.1170493,0
121,121,-37.65407814,145.2470233,0
122,122,-37.76962234,145.352493,0
123,123,-37.86468472,144.8784723,0
124,124,-38.0803,145.506,0
125,125,-38.083,145.502,0
126,126,-38.0825,145.5,0
127,127,-37.85710288,144.8242624,0
128,128,-38.0802,145.503,0
129,129,-37.92465277,145.3334812,0
130,130,-37.92217955,145.2030016,0
131,131,-37.8644056,145.5029656,0
132,132,-37.91645513,145.2104785,0
133,133,-37.91644748,145.21044,0
134,134,-37.53245367,145.1282185,0
135,135,-38.25163629,145.1217211,0
136,136,-37.73782174,145.1562286,0
137,137,-37.83830454,145.2189445,0
138,138,-37.94089015,145.3447164,0
139,139,-37.91714389,145.2045625,0
140,140,-37.91715296,145.2075539,0
141,141,-37.91638637,145.2107318,0
142,142,-37.70781666,145.7655507,0
143,143,-37.7790668,144.8953757,0
144,144,-37.85666375,144.8287709,0
145,145,-37.85732952,144.8275662,0
146,146,-37.8977,145.198,0
147,147,-37.69429371,145.1720085,0
148,148,-37.70876679,144.9952317,0
149,149,-37.75746548,145.6961756,0
150,150,-37.86409301,144.8053691,0
151,151,-38.34390363,145.2124164,0
152,152,-38.19871098,145.1544959,0
153,153,-37.84447378,145.3727182,0
154,154,-37.84405158,145.3724276,0
155,155,-37.64012852,145.079059,0
156,156,-37.63717406,145.2341265,0
157,157,-37.6371472,145.2341396,0
158,158,-37.79569018,145.1116916,0
159,159,-37.82950345,144.9076083,0
160,160,-37.83380609,144.9027117,0
161,161,-37.62742042,145.1078501,0
162,162,-37.9171,145.206,0
163,163,-38.42074103,145.0752572,0
164,164,-38.2501,145.653,0
165,165,-38.19874253,145.1544146,0
166,166,-38.47224229,145.0245001,0
167,167,-38.4189,145.468,0
168,168,-37.86391169,144.807527,0
169,169,-38.419,145.469,0
170,170,-38.35020999,144.9403084,0
171,171,-38.25014956,145.6533522,0
172,172,-38.4187,145.468,0
173,173,-38.22153806,145.3138873,0
174,174,-37.7734,145.524,0
175,175,-37.774,145.525,0
176,176,-37.78963175,145.0077681,0
177,177,-38.2503,145.654,0
178,178,-38.35017642,144.9404166,0
179,179,-37.86558237,144.8074212,0
180,180,-37.70658131,145.2936266,0
181,181,-38.20710794,145.4828756,0
182,182,-37.9164222,145.2107256,0
183,183,-37.91683977,145.2093521,0
184,184,-38.1777093,145.127801,0
185,185,-37.6931377,145.2917942,0
186,186,-37.7884182,144.9026099,0
187,187,-37.51903843,145.1158137,0
188,188,-38.2229,145.399,0
189,189,-38.24973764,145.6529154,0
190,190,-38.4189,145.469,0
191,191,-38.4191,145.469,0
192,192,-37.75301704,145.1130477,0
193,193,-37.7251102,145.0376265,0
194,194,-37.7323,144.975,0
195,195,-37.9284,145.322,0
196,196,-37.64066177,145.078431,0
197,197,-37.64072992,145.0783875,0
198,198,-37.91638863,145.2274832,0
199,199,-37.91650459,145.2274881,0
200,200,-37.87204655,145.0933674,0
201,201,-38.35033958,144.9402814,0
202,202,-37.77371476,145.5243568,0
203,203,-37.95342556,145.2325735,0
204,204,-38.12248821,145.1374694,0
205,205,-37.91639579,145.2274582,0
206,206,-37.77894405,144.895176,0
207,207,-37.70080797,145.2891852,0
208,208,-37.76317895,145.2941616,0
209,209,-37.69606575,145.1758865,0
210,210,-37.82959797,144.9074201,0
211,211,-37.74899961,145.0898667,0
212,212,-38.35019373,144.9403461,0
213,213,-38.34437305,144.9861351,0
214,214,-37.78952208,145.0076324,0
215,215,-37.7287,145.095,0
216,216,-37.7957,145.112,0
217,217,-38.13030527,145.1718054,0
218,218,-38.10092927,145.1395987,0
219,219,-37.73285625,144.9743169,0
220,220,-37.9306,145.431,0
221,221,-38.038,145.125,0
222,222,-37.961,145.305,0
223,223,-38.28000187,145.1033916,0
224,224,-37.99506137,145.1311891,0
225,225,-38.3685,144.94,0
226,226,-38.41581523,145.0731919,0
227,227,-37.91526981,145.2266786,0
228,228,-37.91645019,145.2272517,0
229,229,-37.76195794,144.9816252,0
230,230,-37.71281408,144.9934397,0
231,231,-37.71276793,144.9932574,0
232,232,-37.6683,145.08,0
233,233,-38.2502,145.653,0
234,234,-37.63576522,145.1942662,0
235,235,-37.9442557,145.2752353,0
236,236,-37.77872819,144.8965542,0
237,237,-37.63900321,145.2354262,0
238,238,-37.9612,145.305,0
239,239,-37.9561,145.295,0
240,240,-37.69306103,145.1531249,0
241,241,-38.212,145.342,0
242,242,-37.74069195,145.2383834,0
243,243,-37.74065289,145.2383868,0
244,244,-37.74056509,145.238307,0
245,245,-37.85834371,144.8264031,0
246,246,-38.37702178,145.1205226,0
247,247,-38.37630017,145.1213235,0
248,248,-38.37627026,145.1213693,0
249,249,-38.37731772,145.1211598,0
250,250,-37.76193139,144.981553,0
251,251,-37.76182755,144.981409,0
252,252,-38.34551361,144.979857,0
253,253,-37.7689,145.385,0
254,254,-37.91472407,145.2111292,0
255,255,-37.91488305,145.2116303,0
256,256,-37.91516617,145.2119111,0
257,257,-37.92219054,145.2033312,0
258,258,-37.8528,145.566,0
259,259,-37.92217522,145.2032948,0
260,260,-37.5110203,145.1283161,0
261,261,-37.67322436,145.0849374,0
262,262,-38.35012576,144.9404121,0
263,263,-37.6346794,144.8367603,0
264,264,-37.63574642,144.8355217,0
265,265,-37.63984295,144.8377175,0
266,266,-37.92218151,145.2031512,0
267,267,-37.93912932,145.222278,0
268,268,-38.34460481,144.9864781,0
269,269,-37.91642861,145.2277025,0
270,270,-38.03908259,145.4569167,0
271,271,-37.9076,145.312,0
272,272,-38.41184745,145.4770063,0
273,273,-37.91663694,145.226577,0
274,274,-37.7130043,144.9917128,0
275,275,-37.8005,145.504,0
276,276,-37.9401,145.085,0
277,277,-37.70999675,145.0735409,0
278,278,-38.4186,145.468,0
279,279,-37.82955402,145.4833582,0
280,280,-38.33227999,145.0226119,0
281,281,-37.8389,144.872,0
282,282,-37.71276567,144.9927911,0
283,283,-38.33206543,145.0227726,0
284,284,-38.19435517,145.1605144,0
285,285,-37.69248645,145.1528503,0
286,286,-38.46418026,145.177429,0
